"id","code","name"
"ocupacao_379","223525","Enfermeiro de terapia intensiva"
"ocupacao_380","223530","Enfermeiro do trabalho"
"ocupacao_381","223535","Enfermeiro nefrologista"
"ocupacao_382","223540","Enfermeiro neonatologista"
"ocupacao_383","223545","Enfermeiro obstétrico"
"ocupacao_384","223550","Enfermeiro psiquiátrico"
"ocupacao_385","223555","Enfermeiro puericultor e pediátrico"
"ocupacao_386","223560","Enfermeiro sanitarista"
"ocupacao_387","223565","Enfermeiro da estratégia de saúde da família"
"ocupacao_388","223510","Enfermeiro auditor"
"ocupacao_389","223505","Enfermeiro"
"ocupacao_390","223570","Perfusionista"
"ocupacao_391","223605","Fisioterapeuta geral"
"ocupacao_392","223625","Fisioterapeuta respiratória"
"ocupacao_393","223630","Fisioterapeuta neurofuncional"
"ocupacao_394","223635","Fisioterapeuta traumato-ortopédica funcional"
"ocupacao_395","223640","Fisioterapeuta osteopata"
"ocupacao_396","223645","Fisioterapeuta quiropraxista"
"ocupacao_397","223650","Fisioterapeuta acupunturista"
"ocupacao_398","223655","Fisioterapeuta esportivo"
"ocupacao_399","223660","Fisioterapeuta  do trabalho"
"ocupacao_400","223705","Dietista"
"ocupacao_401","223710","Nutricionista"
"ocupacao_402","223810","Fonoaudiólogo"
"ocupacao_403","223905","Terapeuta ocupacional"
"ocupacao_404","223910","Ortoptista"
"ocupacao_405","223915","Musicoterapeuta"
"ocupacao_406","224105","Avaliador físico"
"ocupacao_407","224110","Ludomotricista"
"ocupacao_408","224115","Preparador de atleta"
"ocupacao_409","224135","Treinador profissional de futebol"
"ocupacao_410","224125","Técnico de desporto individual e coletivo (exceto futebol)"
"ocupacao_411","224130","Técnico de laboratório e fiscalização desportiva"
"ocupacao_412","224120","Preparador físico"
"ocupacao_413","225150","Médico em medicina intensiva"
"ocupacao_414","225130","Médico de família e comunidade"
"ocupacao_415","225145","Médico em medicina de tráfego"
"ocupacao_416","225142","Médico da estratégia de saúde da família"
"ocupacao_417","225140","Médico do trabalho"
"ocupacao_418","225139","Médico sanitarista"
"ocupacao_419","225136","Médico reumatologista"
"ocupacao_420","225135","Médico dermatologista"
"ocupacao_421","225133","Médico psiquiatra"
"ocupacao_422","225109","Médico nefrologista"
"ocupacao_423","225110","Médico alergista e imunologista"
"ocupacao_424","225103","Médico infectologista"
"ocupacao_425","225105","Médico acupunturista"
"ocupacao_426","225106","Médico legista"
"ocupacao_427","225122","Médico cancerologista pediátrico"
"ocupacao_428","225195","Médico homeopata"
"ocupacao_429","225185","Médico hematologista"
"ocupacao_430","225180","Médico geriatra"
"ocupacao_431","225175","Médico geneticista"
"ocupacao_432","225170","Médico generalista"
"ocupacao_433","225165","Médico gastroenterologista"
"ocupacao_434","225160","Médico fisiatra"
"ocupacao_435","225155","Médico endocrinologista e metabologista"
"ocupacao_436","225151","Médico anestesiologista"
"ocupacao_437","225112","Médico neurologista"
"ocupacao_438","225115","Médico angiologista"
"ocupacao_439","225118","Médico nutrologista"
"ocupacao_440","225120","Médico cardiologista"
"ocupacao_441","225121","Médico oncologista clínico"
"ocupacao_442","225124","Médico pediatra"
"ocupacao_443","225125","Médico clínico"
"ocupacao_444","225127","Médico pneumologista"
"ocupacao_445","225148","Médico anatomopatologista"
"ocupacao_446","225295","Médico cirurgião da mão"
"ocupacao_447","225290","Médico cancerologista cirurgíco"
"ocupacao_448","225285","Médico urologista"
"ocupacao_449","225280","Médico coloproctologista"
"ocupacao_450","225275","Médico otorrinolaringologista"
"ocupacao_451","225270","Médico ortopedista e traumatologista"
"ocupacao_452","225265","Médico oftalmologista"
"ocupacao_453","225250","Médico ginecologista e obstetra"
"ocupacao_454","225255","Médico mastologista"
"ocupacao_455","225260","Médico neurocirurgião"
"ocupacao_456","225240","Médico cirurgião torácico"
